Name,Case Cost,Total Units in Case,Cost Price Per Unit,Retail Price Per Unit
Crown Royal 750 ml,274.68,12,22.89,28.61
Crown Royal 200 ml,271.04,44,6.16,7.70
Crown Royal Peach 375 ml,129.84,12,10.82,13.53
Crown Royal Peach 750 ml,274.68,12,22.89,28.61
Crown Royal Blackberry 750 ml,274.68,12,22.89,28.61
Crown Royal Blackberry 375 ml,259.68,24,10.82,13.53
Crown Royal Vanilla 375 ml,259.68,24,10.82,13.53
Crown Royal Apple 200 ml,271.04,44,6.16,7.70
Maker's Mark 750 ml,257.76,12,21.48,26.85
Maker's Mark 375 ml,132,12,11.00,13.75
Jack Daniels Fire 750 ml,237.96,12,19.83,24.79
Jack Daniels Blackberry 750 ml,237.96,12,19.83,24.79
Jack Daniels Apple 750 ml,237.96,12,19.83,24.79
Jack Daniels Apple 375 ml,220.56,24,9.19,11.49
Jack Daniels Honey 750 ml,237.96,12,19.83,24.79
Jack Daniels Honey 375 ml,220.56,24,9.19,11.49
Jack Daniels Black label 750 ml,237.96,12,19.83,24.79
Jack Daniels Black label 375 ml,220.56,24,9.19,11.49
Jack Daniels Black label 200 ml,127.2,24,5.30,6.63
Jack Daniels Black label 1 litre,268.92,12,22.41,28.01
Evan Williams Black label 750 ml,154.8,12,12.90,16.13
Evan Williams Black label 375 ml,139.92,24,5.83,7.29
Evan Williams 1783 750 ml,216.48,12,18.04,22.55
Evan Williams Peach 750 ml,154.8,12,12.90,16.13
Evan Williams Apple 750 ml,154.8,12,12.90,16.13
Paul Masson 750 ml ,101.4,12,8.45,10.56
Seagram's Gin 750 ml,108.72,12,9.06,11.33
R & R Reserve 1.75 ml,127.5,6,21.25,26.56
R & R Reserve 375 ml,94.08,24,3.92,4.90
Fireball 1.75 ml,129.12,6,21.52,26.90
Fireball 375 ml,131.76,24,5.49,6.86
Fireball 200 ml,68.4,24,2.85,3.56
Fireball 100 ml,66.72,48,1.39,1.74
Fireball 50 ml,80.4,120,0.67,0.84
Jim Beam 750 ml,183.48,12,15.29,19.11
Jim Beam 1.75 ml,147.6,6,24.60,30.75
Jim Beam 375 ml,204.24,24,8.51,10.64
Jim Beam 50 ml,76.8,120,0.64,0.80
R & R 750 ml,76.8,12,6.40,8.00
R & R 1.75 ml,92.22,6,15.37,19.21
R & R 375 ml,88.08,24,3.67,4.59
Quality House Whiskey 750 ml,67.08,12,5.59,6.99
Quality House Whiskey 1.75 ml,67.14,6,11.19,13.99
Quality House Whiskey 375 ml,65.52,24,2.73,3.41
Canadian Hunter 750 ml,92.16,12,7.68,9.60
